class,cbo,wmc,loc
discord4j.rest.interaction.RestInteraction,6,9,11
discord4j.core.ExampleSoundboard,16,21,140
discord4j.core.object.entity.channel.Category,12,7,29
discord4j.rest.service.WebhookServiceTest,7,7,26
discord4j.core.event.domain.guild.EmojisUpdateEvent,11,6,26
discord4j.voice.json.SelectProtocol$Data,1,3,33
discord4j.voice.Opus,0,0,5
discord4j.gateway.retry.GatewayException,1,3,13
discord4j.core.spec.AudioChannelJoinMonoGenerator,6,3,7
discord4j.core.spec.GuildEmojiCreateSpecGenerator,7,4,10
discord4j.core.event.domain.interaction.ComponentInteractionEvent,16,12,51
discord4j.voice.VoiceServerOptions,0,3,14
discord4j.core.event.domain.lifecycle.ReadyEvent$Guild,3,11,30
discord4j.core.object.entity.channel.AudioChannel,19,10,42
discord4j.core.spec.AuditLogQuerySpecGenerator,7,5,14
discord4j.core.object.RoleTags,4,8,29
discord4j.common.store.action.read.GetRolesInGuildAction,2,2,9
discord4j.rest.util.RouteUtils,6,48,88
discord4j.voice.retry.VoiceServerUpdateReconnectException,2,1,5
com.iwebpp.crypto.TweetNaclFast$Box,4,77,163
discord4j.core.object.MessageReference,5,7,26
discord4j.core.event.domain.channel.VoiceChannelCreateEvent,4,3,13
discord4j.rest.http.WebClientTest,17,4,34
discord4j.core.object.component.ActionComponent,2,1,5
discord4j.gateway.GatewayReactorResources,6,10,59
discord4j.rest.response.ResumingTransformer,6,4,19
discord4j.core.object.audit.OptionKey,3,5,32
discord4j.rest.request.BucketKey,5,10,33
discord4j.core.spec.legacy.LegacyGuildCreateSpec,15,24,73
com.iwebpp.crypto.TweetNaclFast$Signature,4,34,93
discord4j.core.object.entity.channel.ThreadChannel$AutoArchiveDuration,1,8,29
discord4j.core.spec.GuildStickerCreateSpecGenerator,4,5,9
discord4j.core.util.ImageUtil,1,2,9
discord4j.core.ExamplePollCreation,3,1,12
discord4j.core.spec.InteractionApplicationCommandCallbackReplyMonoGenerator,6,3,7
discord4j.core.object.entity.channel.Channel$Flag,2,9,31
discord4j.core.object.Region,3,10,79
discord4j.rest.request.ClockGlobalRateLimiter,7,9,40
discord4j.common.store.action.gateway.PresenceUpdateAction,3,2,10
discord4j.core.spec.AutoModRuleCreateMonoGenerator,6,3,7
discord4j.core.util.PaginationUtilTest$PageSource,2,7,41
discord4j.common.jackson.UnknownPropertyHandler,4,3,13
discord4j.core.object.entity.channel.Channel$Type,1,15,49
com.iwebpp.crypto.TweetNaclFast$Hash,3,4,13
discord4j.core.spec.RoleEditMonoGenerator,6,3,7
discord4j.rest.service.TemplateServiceTest,8,2,13
discord4j.core.event.domain.PresenceUpdateEvent,13,14,54
discord4j.core.spec.InteractionApplicationCommandCallbackSpecGenerator,13,10,18
discord4j.voice.VoiceConnection$State,0,0,6
discord4j.common.ResettableIntervalTest,2,1,6
discord4j.core.object.command.ApplicationCommandInteractionOption,9,8,33
discord4j.core.spec.legacy.LegacyGuildTemplateCreateSpec,4,3,15
discord4j.core.event.domain.automod.AutoModRuleDeleteEvent,4,1,5
discord4j.voice.AudioReceiver$Anonymous1,1,1,4
discord4j.core.event.domain.message.ReactionRemoveAllEvent,12,8,32
discord4j.core.event.domain.thread.ThreadListSyncEvent,7,6,24
discord4j.common.store.action.read.GetMessagesAction,2,1,4
discord4j.core.event.domain.channel.NewsChannelCreateEvent,4,3,13
discord4j.core.ExampleWebhook,4,3,27
discord4j.common.store.action.read.CountMessagesInChannelAction,1,2,9
discord4j.core.object.entity.Attachment$AttachmentFlags,1,6,19
discord4j.common.store.action.gateway.GuildDeleteAction,3,2,10
discord4j.common.store.action.read.CountInGuildAction$InGuildEntity,0,0,1
discord4j.common.store.action.read.GetMessagesInChannelAction,2,2,9
discord4j.rest.route.Route,4,14,48
discord4j.core.event.EventDispatcher,12,12,49
discord4j.common.store.action.read.GetStickerByIdAction,2,3,14
discord4j.core.spec.GuildCreateFromTemplateMonoGenerator,6,3,7
discord4j.core.event.domain.thread.ThreadChannelUpdateEvent,5,4,18
discord4j.core.event.domain.thread.ThreadMembersUpdateEvent,7,8,32
discord4j.core.object.presence.Status,1,8,26
discord4j.core.event.domain.lifecycle.ConnectEvent,3,2,8
discord4j.common.store.action.gateway.CompleteGuildMembersAction,1,2,9
discord4j.core.object.ApplicationInstallParams,2,4,15
discord4j.rest.http.client.DiscordWebClient,19,17,78
discord4j.common.store.action.read.CountEmojisInGuildAction,1,1,5
discord4j.core.ExampleQuickstartBlocking,3,2,16
discord4j.core.spec.ScheduledEventCreateSpecGenerator,11,10,14
discord4j.core.spec.StageChannelCreateMonoGenerator,6,3,7
discord4j.gateway.retry.GatewayStateChange,7,13,47
discord4j.core.object.entity.Guild,106,164,813
discord4j.core.event.domain.monetization.EntitlementCreateEvent,8,4,16
discord4j.rest.interaction.InteractionHandler,4,2,4
discord4j.core.object.entity.ApplicationEmoji,12,10,36
discord4j.core.spec.CreateTestEntitlementMonoGenerator,8,4,8
discord4j.core.spec.legacy.LegacyGuildMemberEditSpec,6,8,34
discord4j.core.event.domain.WebhooksUpdateEvent,9,6,24
discord4j.voice.json.SentSpeaking,2,1,24
discord4j.core.ExampleGuildScheduledEvents$Anonymous1,2,5,21
discord4j.common.store.action.read.GetVoiceStatesInGuildAction,2,2,9
discord4j.core.util.PaginationUtilTest,4,4,71
discord4j.core.spec.legacy.LegacyMessageCreateSpec,14,24,73
discord4j.core.support.VoiceSupport$Stop,5,3,12
discord4j.rest.http.JacksonReaderStrategy,11,12,46
discord4j.core.spec.BulkBanRequestSpecGenerator,6,3,7
discord4j.core.GatewayResources,8,9,44
discord4j.rest.service.AutoModService,11,6,20
discord4j.core.event.domain.role.RoleUpdateEvent,5,4,18
discord4j.core.event.domain.command.ApplicationCommandDeleteEvent,10,4,18
discord4j.core.util.PermissionUtil,3,6,18
discord4j.core.spec.PollCreateSpecGenerator,8,6,10
discord4j.core.object.reaction.ReactionEmoji,9,16,113
discord4j.core.object.command.ApplicationCommandPermission$Type,1,6,25
discord4j.rest.util.PermissionSet,3,25,77
discord4j.core.object.util.PermissionSetTest,3,8,51
discord4j.voice.json.HeartbeatAck,1,1,6
discord4j.core.object.entity.Sticker$Format,1,6,25
discord4j.rest.service.EmojiServiceTest,6,6,20
discord4j.voice.LocalVoiceSendTask,7,10,47
discord4j.common.store.action.gateway.StageInstanceDeleteAction,3,2,10
discord4j.core.spec.PollCreateMonoGenerator,6,3,7
discord4j.core.object.entity.ScheduledEvent$EntityType,1,6,20
discord4j.core.object.entity.Webhook,27,61,271
discord4j.core.object.entity.Guild$VerificationLevel,1,8,31
discord4j.rest.http.FormUrlEncodedWriterStrategy,6,6,18
discord4j.rest.service.ApplicationService,15,22,68
discord4j.common.store.action.gateway.StageInstanceUpdateAction,3,2,10
discord4j.core.ExampleSelectMenu,4,1,12
discord4j.core.spec.legacy.LegacyInteractionApplicationCommandCallbackSpec,10,16,43
discord4j.common.store.action.read.CountExactMembersInGuildAction,1,1,5
discord4j.common.store.action.read.GetUserByIdAction,2,2,9
discord4j.rest.request.RequestStream$RequestSubscriber,17,17,74
discord4j.rest.util.AllowedMentions$Builder,5,16,64
discord4j.core.event.ReplayingEventDispatcher,16,15,128
discord4j.core.object.entity.channel.ThreadChannel$Type,1,7,27
discord4j.core.event.domain.channel.ForumChannelDeleteEvent,4,3,13
discord4j.core.spec.UserEditSpecGenerator,7,3,7
discord4j.core.object.onboarding.OnboardingPromptOption,5,10,43
discord4j.core.spec.InteractionFollowupEditMonoGenerator,7,4,8
discord4j.core.spec.legacy.LegacyCategoryCreateSpec,6,6,27
discord4j.core.spec.ScheduledEventCreateMonoGenerator,6,3,7
discord4j.rest.request.ProcessorRequestQueueFactory,6,2,22
discord4j.core.object.command.ApplicationCommandOption$Type,1,14,37
discord4j.core.ExampleGatewayErrors,5,2,9
discord4j.core.event.SinksEventDispatcher,11,7,69
discord4j.voice.retry.VoiceGatewayRetrySignal,1,6,27
discord4j.core.object.entity.channel.ForumChannel$SortOrder,1,5,18
discord4j.common.sinks.ParkEmissionStrategy,6,19,53
discord4j.core.spec.WebhookExecuteSpecGenerator,14,12,25
discord4j.rest.http.RouterTest,11,8,45
discord4j.core.object.entity.PartialSticker,6,8,28
discord4j.rest.service.PollService,11,3,11
discord4j.common.store.action.gateway.ReadyAction,2,2,9
discord4j.voice.retry.VoiceGatewayRetrySpec,17,24,122
discord4j.common.store.action.read.GetGuildScheduledEventUsersInEventAction,2,3,14
discord4j.core.object.entity.channel.TopLevelGuildMessageChannel,12,5,23
discord4j.core.spec.GuildPruneSpecGenerator,7,4,12
discord4j.common.store.action.gateway.GuildScheduledEventUserRemoveAction,2,2,10
discord4j.core.DiscordClient,10,7,25
discord4j.voice.retry.VoiceGatewayResumeException,2,1,5
discord4j.core.event.domain.channel.ForumChannelCreateEvent,4,3,13
discord4j.rest.http.DefaultExchangeStrategies,3,3,14
discord4j.common.store.legacy.StateHolder,21,17,98
discord4j.common.store.action.read.GetGuildByIdAction,2,2,9
discord4j.common.store.action.read.CountTotalPresencesAction,1,1,5
discord4j.core.spec.CategoryEditMonoGenerator,6,3,7
discord4j.common.store.impl.LocalStoreLayout$ChannelContent,1,2,15
discord4j.common.store.action.gateway.MessageDeleteAction,3,2,10
discord4j.gateway.state.StatefulDispatch,5,6,25
discord4j.rest.entity.RestSticker,10,16,43
discord4j.core.spec.UserEditMonoGenerator,6,3,7
discord4j.core.util.ValidationUtilTest,3,3,17
discord4j.core.object.command.ApplicationCommandGuildPermissions,5,7,27
discord4j.rest.service.GuildServiceTest,13,40,118
discord4j.voice.VoiceSendTaskFactory,5,1,3
discord4j.core.object.ApplicationRoleConnectionMetadata,3,8,67
discord4j.core.spec.GuildStickerCreateMonoGenerator,6,3,7
discord4j.common.store.legacy.LegacyStoreLayout,79,158,670
discord4j.core.object.component.LayoutComponent,3,2,8
discord4j.gateway.json.GatewayPayload,15,17,55
discord4j.core.spec.AudioChannelJoinSpecGenerator,30,15,76
discord4j.core.event.domain.interaction.InteractionCreateEvent,15,6,71
discord4j.core.spec.StartThreadWithoutMessageMonoGenerator,7,5,16
discord4j.core.ExampleClientResponse,2,1,5
discord4j.core.ExampleCustomOptionsBot$CustomGatewayClient,6,2,12
discord4j.voice.json.VoiceGatewayPayload,5,3,14
discord4j.core.support.VoiceSupport$LavaplayerAudioProvider,3,3,16
discord4j.core.event.domain.command.ApplicationCommandCreateEvent,9,4,18
discord4j.gateway.GatewayObserver$Anonymous7,0,1,5
discord4j.common.store.impl.SelectiveStoreLayout,7,6,25
discord4j.gateway.GatewayObserver$Anonymous8,0,1,5
discord4j.core.event.SinksEventDispatcher$Builder,6,8,31
discord4j.gateway.GatewayObserver$Anonymous5,0,1,5
discord4j.gateway.GatewayObserver$Anonymous6,0,1,5
discord4j.core.event.domain.message.MessageEvent,3,1,5
discord4j.core.event.domain.VoiceStateUpdateEvent,5,10,30
discord4j.gateway.GatewayObserver$Anonymous3,0,1,5
discord4j.gateway.GatewayObserver$Anonymous4,0,1,5
discord4j.core.event.domain.role.RoleEvent,3,1,5
discord4j.gateway.GatewayObserver$Anonymous1,0,1,5
discord4j.core.object.entity.poll.PollResult,2,5,22
discord4j.core.support.VoiceSupport,17,4,158
discord4j.gateway.GatewayObserver$Anonymous2,0,1,5
discord4j.core.spec.legacy.LegacyWebhookExecuteSpec,11,15,59
discord4j.core.spec.GuildCreateMonoGenerator,6,3,7
discord4j.core.spec.WebhookExecuteMonoGenerator,6,5,13
discord4j.common.store.action.gateway.MessageCreateAction,2,2,10
discord4j.core.object.Embed$Type,1,9,34
discord4j.core.object.onboarding.Onboarding,6,10,63
discord4j.common.store.action.read.CountTotalStickersAction,1,1,5
discord4j.core.spec.ApplicationEmojiCreateSpecGenerator,5,3,7
discord4j.core.spec.InteractionCallbackSpecGenerator,6,3,6
discord4j.gateway.IdentifyOptions,7,13,79
discord4j.core.spec.InviteCreateMonoGenerator,6,3,7
discord4j.common.store.action.read.GetMembersInGuildAction,2,2,9
discord4j.core.object.monetization.Entitlement,11,20,116
discord4j.core.object.entity.Guild$NotificationLevel,1,5,22
discord4j.core.event.domain.automod.AutoModActionExecutedEvent,17,26,80
discord4j.core.event.domain.Event,3,3,14
discord4j.core.event.domain.channel.TextChannelUpdateEvent,7,8,24
discord4j.core.spec.MemberBanQueryMonoGenerator,6,3,7
discord4j.common.store.action.gateway.GuildCreateAction,2,2,10
discord4j.core.object.ApplicationTeamMember$MembershipState,1,5,19
discord4j.core.ExampleButtonAttachment,9,7,50
discord4j.core.ExampleLogin,4,1,7
discord4j.core.support.VoiceSupport$GuildVoiceSupport,5,1,13
discord4j.core.object.entity.ApplicationInfo,28,50,189
discord4j.rest.request.RateLimitStrategy,1,1,3
discord4j.voice.DefaultVoiceConnectionFactory,7,2,14
discord4j.core.object.ScheduledEventEntityMetadata,3,5,20
discord4j.rest.http.client.AuthorizationScheme,0,2,8
discord4j.core.event.dispatch.DispatchEventMapper,9,4,23
discord4j.core.spec.AuditSpec,3,1,3
discord4j.rest.request.RequestCorrelation,4,6,27
discord4j.core.object.entity.Sticker$Type,1,5,22
discord4j.core.object.entity.ThreadMember,4,7,26
discord4j.common.store.api.object.ExactResultNotAvailableException,0,0,2
discord4j.common.LogUtil,4,12,50
discord4j.core.spec.AutoModRuleCreateSpecGenerator,10,9,15
discord4j.core.util.OrderUtil,9,6,40
discord4j.core.event.ReactiveEventAdapter,101,196,406
discord4j.core.spec.EmbedCreateFields,3,1,38
discord4j.core.object.Embed$Author,2,7,25
discord4j.voice.PacketTransformer,5,7,46
discord4j.core.spec.GuildEmojiEditMonoGenerator,6,3,7
discord4j.rest.entity.RestGuildTemplate,8,10,29
discord4j.common.operator.RateLimitOperator,8,11,54
discord4j.core.object.automod.AutoModRule$EventType,1,5,20
discord4j.gateway.state.DispatchStoreLayer,50,8,83
discord4j.core.object.entity.Message$Type,1,41,119
discord4j.core.spec.DefaultVoiceServerUpdateTask,8,4,12
discord4j.core.object.entity.ScheduledEvent$Status,1,7,22
discord4j.core.object.presence.Activity,8,28,152
discord4j.core.event.domain.guild.GuildUpdateEvent,5,4,18
discord4j.core.object.component.MessageComponent$Type,1,11,30
discord4j.core.spec.RoleEditSpecGenerator,8,8,12
discord4j.rest.service.AuditLogServiceTest,6,2,10
discord4j.common.close.CloseException,3,8,27
discord4j.core.event.domain.channel.TextChannelDeleteEvent,4,3,13
discord4j.voice.VoiceReactorResources$Builder,6,8,34
discord4j.voice.json.VoiceDisconnect,2,2,18
discord4j.core.object.monetization.SKU,7,11,86
discord4j.core.object.entity.poll.Poll$PollLayoutType,1,4,19
discord4j.rest.entity.RestChannel,33,46,150
discord4j.core.event.domain.integration.IntegrationCreateEvent,5,3,15
discord4j.core.object.audit.AuditLogChangeParser,13,2,33
discord4j.core.event.domain.channel.NewsChannelDeleteEvent,4,3,13
discord4j.core.object.entity.Message$Flag,1,7,35
discord4j.core.event.domain.interaction.MessageInteractionEvent,14,5,17
discord4j.core.object.presence.Activity$Type,1,9,34
discord4j.rest.interaction.GuildInteraction,4,2,4
com.iwebpp.crypto.TweetNaclFast$poly1305,3,20,345
discord4j.core.object.entity.Role,22,34,145
discord4j.core.support.AddRandomReaction,5,5,27
discord4j.core.spec.legacy.LegacyVoiceChannelJoinSpec,28,16,96
discord4j.core.event.domain.message.MessageCreateEvent,11,6,26
discord4j.core.object.entity.ForumTag,4,8,29
discord4j.core.object.presence.Activity$Flag,1,12,32
discord4j.core.spec.GuildBanQueryMonoGenerator,7,4,8
discord4j.gateway.limiter.PayloadTransformer,1,0,2
discord4j.common.store.action.read.GetChannelsInGuildAction,2,2,9
discord4j.core.event.dispatch.MessageDispatchHandlers,27,9,85
discord4j.rest.service.InviteServiceTest,7,4,19
discord4j.core.event.domain.guild.GuildDeleteEvent,6,5,23
discord4j.rest.RestClientBuilder,18,26,168
discord4j.core.shard.ShardingStrategy,8,9,59
discord4j.core.spec.EmbedCreateFields$Footer,6,4,10
discord4j.core.spec.StageChannelEditMonoGenerator,6,3,7
discord4j.core.object.automod.AutoModRuleAction,5,5,62
discord4j.common.store.action.read.GetUsersAction,2,1,4
discord4j.common.StoreLayoutTest$Anonymous1,2,1,5
discord4j.core.spec.legacy.LegacyWebhookEditWithTokenSpec,6,4,15
discord4j.core.object.audit.AuditLogChange,2,4,17
discord4j.core.object.component.SelectMenu$DefaultValue,4,5,38
discord4j.common.store.action.gateway.GuildMemberRemoveAction,3,2,10
discord4j.core.event.domain.channel.VoiceChannelDeleteEvent,4,3,13
discord4j.core.spec.StageInstanceEditSpecGenerator,5,3,7
discord4j.core.spec.legacy.LegacyAuditLogQuerySpec,4,5,22
discord4j.core.shard.DefaultShardingStrategy$Builder,6,10,38
discord4j.core.object.MessageInteraction,6,6,23
discord4j.core.event.domain.guild.GuildEvent,3,1,5
discord4j.rest.request.RequestStream,20,11,136
discord4j.common.store.action.read.GetGuildsAction,2,1,4
discord4j.rest.request.DiscardedRequestException,1,2,10
discord4j.common.store.action.gateway.GuildMemberUpdateAction,3,2,10
discord4j.gateway.GatewayWebsocketHandler,18,19,69
discord4j.core.event.domain.channel.CategoryCreateEvent,4,3,13
discord4j.core.event.domain.lifecycle.ReconnectFailEvent,3,3,13
discord4j.common.retry.ReconnectContext,0,8,33
discord4j.voice.VoiceConnectionRegistry,4,3,5
discord4j.voice.DefaultVoiceGatewayClient$Anonymous2,9,10,23
discord4j.voice.DefaultVoiceGatewayClient$Anonymous1,0,0,2
discord4j.rest.request.DiscordWebResponse,4,4,17
discord4j.core.spec.NewsChannelCreateSpecGenerator,8,8,12
com.iwebpp.crypto.TweetNaclFast$Box$KeyPair,1,3,14
discord4j.core.CoreResources,6,1,5
discord4j.core.event.ReactiveEventAdapter$CompositeReactiveEventAdapter,3,2,9
discord4j.core.object.onboarding.Onboarding$Mode,1,5,22
discord4j.core.object.entity.Guild$ResourceNavigation,0,3,15
discord4j.common.store.action.gateway.StageInstanceCreateAction,2,2,10
discord4j.core.object.component.Button,10,32,115
discord4j.rest.http.EmptyReaderStrategy,3,3,8
discord4j.core.object.entity.channel.TopLevelGuildMessageWithThreadsChannel,15,7,21
discord4j.core.object.presence.ClientActivity,4,11,36
discord4j.common.store.action.gateway.MessageReactionRemoveEmojiAction,2,2,10
discord4j.common.store.api.ActionMapper,6,8,42
discord4j.core.event.dispatch.MonetizationDispatchHandlers,8,3,14
discord4j.rest.service.UserServiceTest,8,11,38
discord4j.common.store.legacy.LegacyStoreLayout$Type,1,14,36
discord4j.core.object.entity.channel.ThreadChannel,26,32,152
com.iwebpp.crypto.TweetNaclFast$Signature$KeyPair,1,3,14
discord4j.core.event.domain.StageRequestToSpeakEvent,11,6,24
discord4j.core.object.entity.ScheduledEvent,18,28,151
discord4j.rest.request.NonBlockingLimiterTestApp,1,1,6
discord4j.core.object.entity.Guild$SystemChannelFlag,1,7,30
discord4j.core.ExampleChatInputInteractionEvent$Anonymous1,3,2,10
discord4j.gateway.DefaultGatewayClient,53,82,422
discord4j.common.util.Snowflake,3,18,55
discord4j.core.event.domain.lifecycle.ReconnectEvent,3,3,13
discord4j.core.event.domain.guild.StickersUpdateEvent,11,6,26
discord4j.common.store.action.read.CountStickersInGuildAction,1,1,5
discord4j.core.object.onboarding.OnboardingPrompt,6,11,66
discord4j.gateway.ZlibDecompressor,6,9,39
discord4j.core.event.domain.interaction.InteractionCreateEvent$EventInteractionResponse,10,12,46
discord4j.common.store.impl.EmptyPartialUser,4,16,51
discord4j.core.object.reaction.ReactionCountDetails,3,5,20
discord4j.core.event.domain.guild.MemberChunkEvent,11,9,41
discord4j.core.spec.CreateTestEntitlementSpecGenerator,7,4,8
discord4j.core.spec.ForumChannelCreateSpecGenerator,11,14,18
discord4j.core.spec.RoleCreateSpecGenerator,8,8,12
discord4j.core.object.entity.Guild$ContentFilterLevel,1,6,25
discord4j.core.object.entity.channel.NewsChannel,16,8,33
discord4j.common.store.action.read.GetThreadMemberByIdAction,2,3,14
discord4j.core.event.domain.channel.ForumChannelUpdateEvent,5,4,18
discord4j.core.object.ThreadListPart,5,5,27
discord4j.rest.interaction.InteractionResponse,6,11,13
discord4j.gateway.retry.GatewayRetrySpec,17,25,125
discord4j.core.event.domain.guild.GuildCreateEvent,4,3,13
discord4j.core.event.domain.message.MessageDeleteEvent,11,8,34
discord4j.rest.http.ExchangeStrategies$Builder,5,3,15
discord4j.common.store.impl.ImplUtils,7,10,35
discord4j.rest.request.GlobalRateLimiter,6,4,8
discord4j.common.sinks.TimeoutEmissionStrategy,7,27,83
discord4j.core.event.domain.automod.AutoModRuleCreateEvent,4,1,5
discord4j.common.store.impl.StorageBackend$Anonymous1,5,1,5
discord4j.common.store.impl.StorageBackend$Anonymous3,5,2,9
discord4j.core.event.domain.channel.PrivateChannelDeleteEvent,4,3,13
discord4j.rest.util.Image,5,14,77
discord4j.common.store.impl.StorageBackend$Anonymous2,4,1,5
discord4j.core.object.entity.channel.ForumChannel$LayoutType,1,5,21
discord4j.core.spec.GuildTemplateEditMonoGenerator,6,3,7
discord4j.core.util.MentionUtil,2,5,18
discord4j.core.event.domain.interaction.DeferrableInteractionEvent,27,25,108
discord4j.core.object.command.ResolvedChannel,13,12,41
discord4j.rest.request.UnboundedGlobalRateLimiter,6,4,12
discord4j.core.object.entity.channel.BaseTopLevelGuildChannel,12,3,17
discord4j.core.shard.GatewayClientGroupManager,2,2,4
discord4j.rest.entity.RestRole,12,19,50
discord4j.voice.json.SentSpeaking$Data,1,4,19
discord4j.core.event.domain.AuditLogEntryCreateEvent,10,5,21
discord4j.core.object.audit.AuditLogRole,3,9,28
discord4j.core.object.component.SelectMenu$DefaultValue$Type,1,5,20
discord4j.core.object.Embed$Video,3,7,24
discord4j.common.store.action.read.CountTotalAction,2,2,10
discord4j.common.store.impl.StorageConfig,4,8,40
discord4j.core.spec.legacy.LegacyBanQuerySpec,3,4,17
discord4j.gateway.payload.JacksonPayloadReader,9,7,38
discord4j.rest.util.InteractionResponseType,1,11,40
discord4j.core.object.entity.channel.TopLevelGuildChannel,12,9,40
discord4j.gateway.retry.GatewayRetrySignal,1,6,27
discord4j.core.spec.GuildCreateSpecGenerator,16,11,30
discord4j.core.object.entity.ApplicationInfo$Flag,1,7,24
discord4j.core.spec.VoiceChannelCreateSpecGenerator,8,8,12
discord4j.core.spec.ApplicationEmojiCreateMonoGenerator,6,3,7
discord4j.common.retry.ReconnectOptions$Builder,8,15,66
discord4j.gateway.retry.PartialDisconnectException,2,1,5
discord4j.common.store.impl.LocalStoreLayout$EmojiKey,3,9,20
discord4j.core.object.audit.ChangeKey,15,5,86
discord4j.core.ExampleAuditLog,3,1,8
discord4j.core.spec.EntitlementListRequestSpecGenerator,8,8,20
discord4j.core.spec.legacy.LegacyMessageReferenceSpec,5,5,22
discord4j.common.store.action.gateway.GuildStickersUpdateAction,3,2,10
discord4j.core.spec.ForumChannelEditSpecGenerator,11,14,18
discord4j.core.object.entity.channel.GuildMessageChannel,11,6,30
discord4j.core.event.dispatch.ThreadDispatchHandlers,19,6,35
discord4j.core.spec.GuildEmojiEditSpecGenerator,7,3,7
discord4j.core.spec.InteractionCallbackSpecDeferEditMonoGenerator,6,3,7
discord4j.voice.json.Speaking$Data,0,4,19
discord4j.core.ExampleModal,7,6,40
discord4j.core.event.dispatch.GuildDispatchHandlers,65,21,157
discord4j.core.event.domain.StageInstanceDeleteEvent,5,3,13
discord4j.core.event.domain.interaction.AutoCompleteInteractionEvent,5,1,5
discord4j.voice.VoiceReactorResources,7,14,84
discord4j.core.support.EventHandler,2,1,3
discord4j.voice.json.Resume,2,2,28
discord4j.core.event.domain.thread.ThreadMemberUpdateEvent,5,4,18
discord4j.oauth2.DiscordOAuth2ResponseHandler,5,1,3
discord4j.rest.request.Router,2,1,3
discord4j.core.spec.InviteCreateSpecGenerator,8,8,12
discord4j.rest.http.client.ClientResponse,18,13,66
discord4j.core.spec.StageChannelCreateSpecGenerator,8,7,11
discord4j.common.store.action.read.GetAutoModRulesInGuildAction,2,2,9
discord4j.rest.service.StickerService,12,9,29
discord4j.rest.response.RetryingTransformer,6,3,14
discord4j.core.spec.WebhookEditWithTokenMonoGenerator,6,3,7
discord4j.common.store.action.read.GetPresencesInGuildAction,2,2,9
discord4j.common.store.action.read.CountTotalMessagesAction,1,1,5
discord4j.core.spec.InteractionReplyEditMonoGenerator,6,3,7
discord4j.core.object.command.Interaction,18,28,105
discord4j.core.event.domain.VoiceServerUpdateEvent,9,6,26
discord4j.core.event.dispatch.ApplicationCommandDispatchHandlers,17,4,29
discord4j.core.object.monetization.SKU$Flag,1,7,24
discord4j.common.store.action.gateway.MessageReactionRemoveAction,2,2,10
discord4j.core.object.entity.Guild$GuildFeature,1,4,16
discord4j.rest.util.OrderUtil,3,2,9
discord4j.core.object.BulkBan,4,5,20
discord4j.common.store.action.read.GetRoleByIdAction,2,3,14
discord4j.common.store.impl.LocalStoreLayout$GuildContent,5,4,34
discord4j.rest.interaction.GlobalCommandRegistrar,7,4,20
discord4j.voice.json.Hello$Data,0,2,9
discord4j.core.event.ReplayingEventDispatcher$State,0,0,1
discord4j.rest.interaction.ApplicationCommandDefinition,4,2,4
discord4j.rest.interaction.InteractionMember,5,6,8
discord4j.common.store.action.gateway.GuildUpdateAction,3,2,10
discord4j.core.event.domain.interaction.UserInteractionEvent,14,5,17
discord4j.core.spec.MessageCreateMonoGenerator,6,3,7
discord4j.core.spec.StartThreadInForumChannelSpecGenerator,9,6,10
discord4j.core.util.EntityUtil,20,17,48
discord4j.rest.service.VoiceService,7,2,8
discord4j.rest.interaction.Interactions$Anonymous1,3,2,8
discord4j.rest.interaction.Interactions$Anonymous2,5,2,8
