file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\jackson-core\src\test\java\perf\ManualSmallTokenRead.java,perf.ManualSmallTokenRead,class,7,8,1,7,11,2,0,14,4,0.53333336,0.33333334,0.33333334,5,1,1,2,2,0,3,0,1,0,3,0,0,0,3,0,3,0,2,44,0,3,4,0,1,5,4,8,0,8,2,0,0,0,40,1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\util\RecyclerPool.java,com.fasterxml.jackson.core.util.RecyclerPool$WithPool,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\constraints\DeeplyNestedContentReadTest.java,com.fasterxml.jackson.core.constraints.DeeplyNestedContentReadTest,class,8,9,1,8,13,2,0,15,10,0.8666666,0.0,0.0,5,0,0,3,0,2,2,0,0,0,3,0,0,3,0,0,3,0,1,57,1,6,2,4,0,9,5,12,2,12,2,0,0,0,69,0,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\JsonFactoryBuilder.java,com.fasterxml.jackson.core.JsonFactoryBuilder,class,9,21,12,9,32,2,0,12,193,0.8409091,0.08225108,0.16017316,22,0,22,0,0,0,22,0,0,0,4,0,0,0,4,0,0,0,1,109,20,4,2,0,2,1,5,12,0,5,1,0,0,0,184,1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\filter\FilteringGeneratorDelegate.java,com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate,class,11,17,6,11,215,3,0,74,141,0.74999994,0.45073375,0.5178197,54,0,49,0,5,0,54,0,0,0,6,0,0,0,6,0,0,0,2,706,84,0,127,0,0,1,1,90,0,27,3,0,0,0,214,1,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\write\ArrayWriteTest.java,com.fasterxml.jackson.core.write.ArrayWriteTest,class,6,6,0,6,4,2,0,27,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,81,0,0,0,1,0,5,8,17,1,11,1,0,0,0,56,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\json\async\AsyncNonStandardNumberParsingTest.java,com.fasterxml.jackson.core.json.async.AsyncNonStandardNumberParsingTest,class,7,8,1,7,30,3,0,16,81,0.47368422,0.29411766,0.29411766,19,0,0,1,0,18,18,0,0,0,1,0,0,1,0,0,1,0,20,275,1,0,0,19,0,54,26,45,0,45,2,0,0,0,85,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\constraints\LargeNumberWriteTest.java,com.fasterxml.jackson.core.constraints.LargeNumberWriteTest,class,9,10,1,9,14,2,0,33,15,0.55,0.53571427,0.53571427,10,0,0,4,0,6,8,0,0,0,4,0,0,4,0,0,4,0,2,100,0,2,0,12,0,5,6,32,2,32,2,0,0,0,79,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\read\ParserDupHandlingTest.java,com.fasterxml.jackson.core.read.ParserDupHandlingTest,class,8,9,1,8,26,2,0,19,3,0.33333334,0.6,0.6,6,0,0,2,0,4,5,0,0,0,1,0,0,1,0,0,1,0,4,104,0,7,2,1,0,17,5,18,1,16,2,0,0,0,65,0,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\async\ByteArrayFeeder.java,com.fasterxml.jackson.core.async.ByteArrayFeeder,interface,2,8,6,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\JsonPointer.java,com.fasterxml.jackson.core.JsonPointer$PointerParent,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,19,10,0
