file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\ir\Encoding.java,uk.co.real_logic.sbe.ir.Encoding$Builder,innerclass,5,5,0,5,12,1,0,0,44,0.8333334,0.16666667,1.0,12,0,12,0,0,0,12,0,0,0,11,0,0,11,0,0,0,0,0,60,12,0,0,0,0,0,0,22,0,11,0,0,0,0,44,9,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\generation\java\DtoTest.java,uk.co.real_logic.sbe.generation.java.DtoTest,class,7,8,1,7,4,1,0,43,3,0.0,0.0,0.0,3,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,61,1,1,0,0,0,8,38,19,0,18,1,0,0,0,36,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\PrimitiveValue.java,uk.co.real_logic.sbe.PrimitiveValue,class,4,34,30,4,54,1,0,17,0,0.9229693,0.7205882,1.0,17,3,17,0,0,0,17,0,0,0,42,35,35,7,0,0,42,0,19,222,30,0,15,1,2,18,50,67,14,46,3,0,1,0,135,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\generation\cpp\CppGeneratorTest.java,uk.co.real_logic.sbe.generation.cpp.CppGeneratorTest,class,10,10,0,10,2,1,0,14,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,31,0,0,0,2,0,7,0,16,0,16,1,0,0,0,60,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\ir\EncodedIrTest.java,uk.co.real_logic.sbe.ir.EncodedIrTest,class,12,13,1,12,13,1,0,47,0,0.14285715,1.0,1.0,7,0,0,1,0,6,6,0,0,0,1,1,0,1,0,0,1,0,19,141,0,5,1,16,0,7,8,57,2,57,4,0,0,0,54,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\ir\generated\SignalCodec.java,uk.co.real_logic.sbe.ir.generated.SignalCodec,enum,1,5,4,1,21,1,0,0,0,0.0,1.0,1.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,67,19,0,0,0,0,2,36,1,1,1,1,0,0,0,56,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\ir\ValueRefsTest.java,uk.co.real_logic.sbe.ir.ValueRefsTest,class,7,7,0,7,1,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,1,15,4,0,4,1,0,0,0,26,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\FieldAccessOrderCheckTest.java,uk.co.real_logic.sbe.FieldAccessOrderCheckTest,class,99,100,1,99,194,1,0,78,0,0.39210525,0.84050757,0.9780827,190,1,0,8,0,182,182,0,0,0,6,2,0,6,0,0,6,0,1,2119,5,2,0,0,0,295,1091,592,13,592,2,0,0,41,250,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\xml\CyclicReferencesTest.java,uk.co.real_logic.sbe.xml.CyclicReferencesTest,class,5,5,0,5,2,1,0,9,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,1,0,3,0,2,0,2,1,0,0,0,26,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-benchmarks\src\main\java\uk\co\real_logic\sbe\CarBenchmark.java,uk.co.real_logic.sbe.CarBenchmark$MyState,innerclass,8,8,0,8,1,1,0,2,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,8,8,0,3,13,0,0,0,0,0,0,4,8,0,8,0,0,0,0,16,9,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\ir\generated\PresenceCodec.java,uk.co.real_logic.sbe.ir.generated.PresenceCodec,enum,1,5,4,1,7,1,0,0,0,0.0,1.0,1.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,25,5,0,0,0,0,2,8,1,1,1,1,0,0,0,49,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\Type.java,uk.co.real_logic.sbe.xml.Type,class,3,23,20,3,17,1,4,6,52,0.7569444,0.28333333,0.7583333,16,0,16,0,0,0,16,2,0,0,9,0,0,9,0,0,7,0,12,76,9,0,1,0,0,11,1,21,0,9,1,0,0,0,90,1025,0
